contract_version	action_source	iteration	phase	interval_step	interval_size	world_size	envs_per_rank	sample_ratio	lr	grad_norm	total_loss	nav_loss	fe_loss	calibrate_loss	safe_loss	mi_loss	kl_micro_mean	nll_macro_mean	u_t_raw_mean	u_tilde_mean	recon_sq_error_mean	sigma_mean	sigma_hit_low_rate	sigma_hit_high_rate	gate_mean	gate_p90	lambda_hat_mean	delta_abs_max	kl_corrected_vs_base	teacher_margin_delta	base_error_rate	gate_tp_rate	gate_fp_rate	surprise_auc_base_error	mi_proxy	progress_mean	score_before_mean	score_after_mean	total_actions	total_topo_updates	topo_update_ratio	train_step_sec	rollout_sec	backward_sec	optimizer_sec	lang_sec	waypoint_sec	panorama_sec	graph_identify_sec	cand_real_pos_sec	graph_update_sec	navigation_sec	statenav_sec	env_step_sec	batch_prep_sec
v3-theory	corrected	11	main	11	200	1	8	0.750000	1.000000e-04	386.522156	625.287598	0.709527	624.009094	0.567089	3.920761e-06	0.190351	8.852967	615.156096	65.942100	-4.632378	175.925923	0.703626	0.000000	0.002176	0.126928	0.126928	0.126928	0.314604	3.920761e-06	-0.007464	0.223684	0.000000	0.000000	0.502579	-0.190351	0.673186	-4.638009	-4.607519	76.000000	76.000000	1.000000	49.003089	48.834536	0.166539	1.285251e-04	0.007986	1.130314	0.542612	0.046229	29.140310	0.100102	0.405830	0.095999	16.430746	0.105473
v3-theory	corrected	12	main	12	200	1	8	0.750000	1.000000e-04	390.079498	625.728271	0.321100	624.983215	0.423558	6.808366e-06	0.037038	8.163772	616.819438	65.763832	-4.810647	177.731052	0.703854	0.000000	0.003926	0.126928	0.126928	0.126928	0.293708	6.808366e-06	-0.010941	0.149254	0.000000	0.000000	0.522222	-0.037038	0.664252	-4.654941	-4.628104	67.000000	67.000000	1.000000	39.916944	39.797853	0.111296	1.257330e-04	0.008906	0.466524	0.116483	0.051802	29.090683	0.072203	0.325783	0.096290	8.873455	0.082714
v3-theory	corrected	13	main	13	200	1	8	0.750000	1.000000e-04	391.782776	629.300598	0.692440	627.950317	0.656926	7.707048e-06	0.090284	8.827174	619.123258	66.325895	-4.248574	179.169341	0.703885	0.000000	0.002499	0.126928	0.126928	0.126928	0.312863	7.707048e-06	-0.006897	0.270270	0.000000	0.000000	0.537778	-0.090284	0.696223	-4.167552	-4.138239	74.000000	74.000000	1.000000	64.605819	64.328095	0.273927	0.001089	0.010527	0.827279	0.287752	0.062181	43.351130	0.097580	0.443727	0.118038	18.244418	0.082282
v3-theory	corrected	14	main	14	200	1	8	0.750000	1.000000e-04	390.805786	627.496460	0.338879	626.769958	0.385715	4.760642e-06	0.187473	8.446980	618.322989	66.055777	-4.518695	179.333514	0.702331	0.000000	0.003062	0.126928	0.126928	0.126928	0.273156	4.760642e-06	-0.007344	0.129630	0.000000	0.000000	0.414286	-0.187473	0.669804	-3.971192	-3.947958	54.000000	54.000000	1.000000	25.620609	25.535803	0.081069	1.211780e-04	0.011287	0.291458	0.049800	0.035454	15.958648	0.075196	0.244854	0.065425	8.151519	0.055467
v3-theory	corrected	15	main	15	200	1	8	0.750000	1.000000e-04	398.624908	620.810120	0.471327	619.931824	0.406390	4.733417e-06	0.060339	8.469226	611.462651	65.380877	-5.193602	174.389117	0.702227	0.000000	0.003221	0.126928	0.126928	0.126928	0.315762	4.733417e-06	-0.013013	0.140351	0.000000	0.000000	0.518519	-0.060339	0.650254	-4.446829	-4.418675	57.000000	57.000000	1.000000	32.913529	32.842468	0.068573	1.315069e-04	0.018765	0.651438	0.275937	0.040889	21.857958	0.079212	0.247530	0.072694	8.821324	0.065375
v3-theory	corrected	16	main	16	200	1	8	0.750000	1.000000e-04	408.007843	630.083862	0.386651	629.238953	0.457137	4.953314e-06	0.112468	8.320970	620.917969	66.252279	-4.322198	182.272569	0.702924	0.000000	0.003762	0.126928	0.126928	0.126928	0.309577	4.953313e-06	-0.007654	0.166667	0.000000	0.000000	0.518750	-0.112468	0.650246	-4.050017	-4.021993	54.000000	54.000000	1.000000	36.258011	36.182147	0.072617	1.321951e-04	0.008645	0.539718	0.253549	0.026241	24.619497	0.034539	0.143763	0.052200	10.091232	0.051820
v3-theory	corrected	17	main	17	200	1	8	0.750000	1.000000e-04	396.893188	626.869324	0.735898	625.536133	0.596250	7.897758e-06	0.103583	8.240659	617.295534	65.849879	-4.724600	177.899254	0.703861	0.000000	0.002449	0.126928	0.126928	0.126928	0.300899	7.897759e-06	-0.008091	0.238806	0.000000	0.000000	0.538730	-0.103583	0.660470	-4.460896	-4.434541	67.000000	67.000000	1.000000	53.356432	53.235354	0.118896	1.221029e-04	0.009000	1.283573	0.617539	0.050321	32.207834	0.126846	0.429001	0.122224	17.229558	0.087551
v3-theory	corrected	18	main	18	200	1	8	0.750000	1.000000e-04	390.194733	626.695374	0.333017	626.008118	0.353460	4.396964e-06	0.079803	8.342165	617.665953	65.937681	-4.636801	179.305034	0.702594	0.000000	0.003108	0.126928	0.126928	0.126928	0.295852	4.396964e-06	-0.008715	0.112903	0.000000	0.000000	0.530000	-0.079803	0.663826	-4.346457	-4.321272	62.000000	62.000000	1.000000	53.619075	53.542099	0.073876	1.406530e-04	0.019099	0.968932	0.376643	0.038788	37.787011	0.122240	0.353285	0.068794	12.524830	0.071149
v3-theory	corrected	19	main	19	200	1	8	0.750000	1.000000e-04	376.157104	628.782532	0.608140	627.568298	0.604807	7.205334e-06	0.130387	8.486951	619.081345	66.151605	-4.422866	179.675623	0.703345	0.000000	0.003378	0.126928	0.126928	0.126928	0.272947	7.205334e-06	-0.005594	0.243243	0.000000	0.000000	0.346825	-0.130387	0.665428	-4.510979	-4.486925	74.000000	74.000000	1.000000	64.269019	64.126481	0.139677	1.280380e-04	0.009268	1.315083	0.711748	0.054722	34.363290	0.110945	0.499437	0.101039	25.808698	0.085485
v3-theory	corrected	20	main	20	200	1	8	0.750000	1.000000e-04	384.673309	629.089294	0.611166	627.940247	0.537487	5.589911e-06	0.040160	8.615159	619.325141	66.240085	-4.334384	180.129964	0.702486	0.000000	0.003183	0.126928	0.126928	0.126928	0.315887	5.589911e-06	-0.005948	0.208333	0.000000	0.000000	0.383333	-0.040160	0.680549	-4.614882	-4.584289	72.000000	72.000000	1.000000	52.958654	52.829721	0.125771	1.274740e-04	0.008997	1.053877	0.583951	0.045029	31.993307	0.093288	0.372742	0.091528	17.721952	0.093255
v3-theory	corrected	21	main	21	200	1	8	0.750000	1.000000e-04	379.451508	625.006714	0.601129	623.861206	0.543145	5.058384e-06	0.121714	8.626858	615.234430	65.836887	-4.737601	177.180980	0.702585	0.000000	0.003411	0.126928	0.126928	0.126928	0.295454	5.058383e-06	-0.006163	0.211268	0.000000	0.000000	0.510913	-0.121714	0.662969	-4.475652	-4.449050	71.000000	71.000000	1.000000	67.603946	67.503635	0.096552	1.203540e-04	0.008594	1.780354	1.192730	0.044292	44.017091	0.152535	0.415902	0.083254	18.415850	0.068457
v3-theory	corrected	22	main	22	200	1	8	0.750000	1.000000e-04	399.446411	627.855042	0.449675	627.014465	0.388642	7.049794e-06	0.226669	8.335607	618.678919	66.035689	-4.538787	180.526719	0.702749	0.000000	0.003757	0.126928	0.126928	0.126928	0.313332	7.049795e-06	-0.008123	0.131148	0.000000	0.000000	0.575000	-0.226669	0.674885	-4.313069	-4.285170	61.000000	61.000000	1.000000	39.341037	39.089243	0.248004	9.690120e-04	0.007551	0.637537	0.279910	0.036886	27.914068	0.077762	0.260546	0.077051	9.041884	0.083588
v3-theory	corrected	23	main	23	200	1	8	0.750000	1.000000e-04	374.593750	624.003967	0.493891	623.070007	0.437049	6.011400e-06	0.300320	8.641413	614.428528	65.763557	-4.810918	176.061813	0.702516	0.000000	0.002909	0.126928	0.126928	0.126928	0.307411	6.011400e-06	-0.008345	0.156250	0.000000	0.000000	0.475476	-0.300320	0.648186	-4.634164	-4.606470	64.000000	64.000000	1.000000	51.161516	51.072860	0.085581	1.404490e-04	0.008823	1.288735	0.855210	0.049988	32.604497	0.062746	0.313035	0.073331	14.704874	0.073103
v3-theory	corrected	24	main	24	200	1	8	0.750000	1.000000e-04	387.510834	625.425232	0.346835	624.703735	0.373078	3.800205e-06	0.153517	8.681966	616.021755	65.943149	-4.631320	177.525947	0.702698	0.000000	0.003846	0.126928	0.126928	0.126928	0.302317	3.800205e-06	-0.008933	0.123077	0.000000	0.000000	0.542163	-0.153517	0.658199	-4.624499	-4.597399	65.000000	65.000000	1.000000	47.456541	47.353009	0.100610	1.210090e-04	0.011048	0.722401	0.323255	0.051878	34.605415	0.116506	0.342315	0.106009	10.268395	0.067276
v3-theory	corrected	25	main	25	200	1	8	0.750000	1.000000e-04	397.911316	626.591309	0.432545	625.687744	0.471111	7.932339e-06	-0.010685	8.358349	617.329484	65.912116	-4.662357	178.676928	0.702632	0.000000	0.002661	0.126928	0.126928	0.126928	0.311529	7.932339e-06	-0.009412	0.173913	0.000000	0.000000	0.580952	0.010685	0.662046	-4.140376	-4.112692	69.000000	69.000000	1.000000	51.382747	51.267331	0.107516	1.349141e-04	0.013669	1.186638	0.512771	0.072164	35.993291	0.092027	0.353865	0.122117	11.801541	0.111497
v3-theory	corrected	26	main	26	200	1	8	0.750000	1.000000e-04	389.246460	621.676270	0.605936	620.494202	0.574010	7.759532e-06	0.208473	8.440053	612.054214	65.425456	-5.149029	173.998239	0.703640	0.000000	0.002367	0.126928	0.126928	0.126928	0.320267	7.759532e-06	-0.006799	0.227273	0.000000	0.000000	0.442064	-0.208473	0.656753	-4.275694	-4.245862	66.000000	66.000000	1.000000	53.270868	53.100695	0.167183	1.253779e-04	0.008570	0.858932	0.272905	0.056020	30.245507	0.093139	0.425691	0.126418	20.036651	0.086873
v3-theory	corrected	27	main	27	200	1	8	0.750000	1.000000e-04	380.089020	630.420410	0.483393	629.494019	0.440221	5.579958e-06	0.273596	8.778705	620.715255	66.460880	-4.113602	180.965923	0.702972	0.000000	0.003684	0.126928	0.126928	0.126928	0.291950	5.579958e-06	-0.006541	0.157895	0.000000	0.000000	0.489286	-0.273596	0.661345	-4.999205	-4.971991	76.000000	76.000000	1.000000	59.959478	59.788389	0.168153	1.235260e-04	0.017029	1.439819	0.662947	0.055930	40.282285	0.137882	0.531049	0.138278	15.250463	0.099046
v3-theory	corrected	28	main	28	200	1	8	0.750000	1.000000e-04	380.988403	620.536621	0.614140	619.458130	0.463201	5.967745e-06	0.117457	8.338544	611.119620	65.281236	-5.293243	174.082087	0.702717	0.000000	0.003611	0.126928	0.126928	0.126928	0.301141	5.967745e-06	-0.005956	0.169811	0.000000	0.000000	0.548280	-0.117457	0.659023	-4.040813	-4.014773	53.000000	53.000000	1.000000	36.977546	36.841978	0.132272	1.180781e-04	0.008782	0.559859	0.221457	0.034607	25.355653	0.063520	0.217351	0.059506	9.484561	0.054797
v3-theory	corrected	29	main	29	200	1	8	0.750000	1.000000e-04	391.073395	620.398865	0.259542	619.840332	0.296437	3.839956e-06	0.257695	8.120946	611.719336	65.232410	-5.342063	173.452344	0.703094	0.000000	0.002951	0.126928	0.126928	0.126928	0.334271	3.839956e-06	-0.010162	0.083333	0.000000	0.000000	0.551282	-0.257695	0.653630	-4.630746	-4.601260	60.000000	60.000000	1.000000	42.450399	42.311453	0.127445	1.233979e-04	0.008710	1.500624	0.768668	0.062941	25.888694	0.062971	0.309953	0.089931	12.690461	0.076574
v3-theory	corrected	30	main	30	200	1	8	0.750000	1.000000e-04	405.671600	632.665527	0.359970	631.939270	0.364530	5.784491e-06	0.175386	8.662284	623.276947	66.658845	-3.915635	183.366823	0.703365	0.000000	0.003641	0.126928	0.126928	0.126928	0.308174	5.784491e-06	-0.008642	0.118644	0.000000	0.000000	0.603896	-0.175386	0.664882	-4.181017	-4.154320	59.000000	59.000000	1.000000	41.003892	40.884332	0.116004	1.244930e-04	0.008757	0.908975	0.303109	0.034642	26.795203	0.129861	0.371123	0.089835	11.260062	0.066893
v3-theory	corrected	31	main	31	200	1	8	0.750000	1.000000e-04	378.000885	626.819763	0.519691	625.809143	0.488824	7.622503e-06	0.208206	8.683629	617.125440	66.054357	-4.520117	178.887792	0.702448	0.000000	0.003099	0.126928	0.126928	0.126928	0.305052	7.622503e-06	-0.006313	0.183099	0.000000	0.000000	0.500366	-0.208206	0.686008	-4.042625	-4.014949	71.000000	71.000000	1.000000	52.604496	52.318433	0.280699	0.002658	0.008629	0.965059	0.344420	0.053825	31.683020	0.148531	0.581661	0.169272	16.941711	0.096617
v3-theory	corrected	32	main	32	200	1	8	0.750000	1.000000e-04	390.818298	627.226746	0.361442	626.465820	0.397215	4.694516e-06	0.226299	8.685253	617.780588	66.120688	-4.453793	179.440976	0.702203	0.000000	0.003619	0.126928	0.126928	0.126928	0.338838	4.694516e-06	-0.009257	0.135593	0.000000	0.000000	0.456169	-0.226299	0.655911	-4.128816	-4.097381	59.000000	59.000000	1.000000	41.931465	41.748413	0.178503	1.259450e-04	0.032575	0.861997	0.268833	0.062772	27.434348	0.065142	0.287153	0.137273	11.289358	0.091098
v3-theory	corrected	33	main	33	200	1	8	0.750000	1.000000e-04	382.987152	629.757446	0.404674	628.940796	0.411223	6.513515e-06	0.080389	8.503549	620.437333	66.295508	-4.278974	181.718108	0.702405	0.000000	0.002679	0.126928	0.126928	0.126928	0.280535	6.513515e-06	-0.009209	0.142857	0.000000	0.000000	0.467143	-0.080389	0.655022	-4.370582	-4.347048	70.000000	70.000000	1.000000	44.902702	44.762758	0.137011	1.222939e-04	0.008881	0.924927	0.376582	0.062198	28.845724	0.058825	0.356119	0.104280	13.360187	0.127685
v3-theory	corrected	34	main	34	200	1	8	0.750000	1.000000e-04	374.492310	621.050964	0.358925	620.328857	0.360717	4.395779e-06	0.244927	8.239580	612.089193	65.328715	-5.245767	173.464339	0.703757	0.000000	0.003494	0.126928	0.126928	0.126928	0.276292	4.395779e-06	-0.010136	0.116667	0.000000	0.000000	0.583333	-0.244927	0.681388	-4.148831	-4.126257	60.000000	60.000000	1.000000	42.647712	42.556132	0.087266	1.329060e-04	0.025868	0.933689	0.383822	0.039878	29.473677	0.089050	0.296091	0.082479	10.385286	0.073402
v3-theory	corrected	35	main	35	200	1	8	0.750000	1.000000e-04	403.392822	630.890808	0.483360	629.990295	0.416231	6.776550e-06	0.093629	8.715168	621.275213	66.485103	-4.089368	183.061665	0.701526	0.000000	0.003409	0.126928	0.126928	0.126928	0.317141	6.776550e-06	-0.004097	0.145455	0.000000	0.000000	0.457937	-0.093629	0.650408	-3.941407	-3.911513	55.000000	55.000000	1.000000	54.693424	54.406263	0.283416	0.001369	0.011054	1.405982	0.702132	0.036458	33.394789	0.083295	0.317457	0.091594	17.188530	0.098978
v3-theory	corrected	36	main	36	200	1	8	0.750000	1.000000e-04	341.275513	628.541626	0.520262	627.364563	0.656099	6.070650e-06	0.066929	8.234809	619.129774	66.030382	-4.544095	180.117110	0.703097	0.000000	0.003720	0.126928	0.126928	0.126928	0.315777	6.070650e-06	-0.009050	0.269841	0.000000	0.000000	0.580556	-0.066929	0.658653	-4.611976	-4.583159	63.000000	63.000000	1.000000	59.526379	59.404309	0.119362	1.258880e-04	0.009750	1.622484	0.991143	0.038392	36.138324	0.123735	0.402056	0.107707	18.700768	0.066425
